id;nom;categorie;ville;description;actif;coup_de_coeur;citation_haykel;gps_lat;gps_lng;photo_url;tel;horaires;prix;tags
82;El Karrada;crique;El Haouaria;"Crique rocheuse sauvage aux eaux profondes et claires; parfaite pour observer les poissons et la vie marine.";OUI;NON;"La crique rocheuse par excellence à El Haouaria — équipez-vous de chaussures d'eau et d'un masque; les anfractuosités regorgent de vie.";37.0540;11.0000;;;Accessible toute l'année;Gratuit;"rochers; snorkeling; sauvage; poissons; eau claire; plongée"
83;Baies du Port;crique;El Haouaria;Petites baies de galets immaculés cachées derrière le port de pêche. Eaux incroyablement claires et calmes.;OUI;NON;"Le secret le mieux gardé d'El Haouaria — deux pas du port; un décor de carte postale. L'eau y est d'une transparence parfaite.";37.0470;11.0020;;;Accessible toute l'année;Gratuit;"galets; calme; port; eau cristalline; snorkeling; secret"
84;Plage Boukrim;plage;El Haouaria;"Plage sauvage accessible par piste; alternative à Plage Rtiba. Cadre isolé et préservé; fréquentée principalement par les pêcheurs locaux.";OUI;NON;Un coin de paradis pour ceux qui cherchent l'isolement. Prévoyez un véhicule adapté pour l'accès.;37.0620;11.0200;;;Accès libre (piste);Gratuit;"sauvage; isolé; pêche; nature; préservé"
85;Kef Bou Krim;randonnee;El Haouaria;Point culminant secondaire du Cap Bon à 237m. Randonnée offrant une vue panoramique sur la région.;OUI;NON;Une randonnée accessible pour admirer le paysage du Cap Bon sous un autre angle.;37.0550;11.0150;;;Accessible toute l'année;Gratuit;"randonnée; panorama; montagne; vue; nature"
86;Djebel Sidi Abd er-Rahmane;randonnee;Cap Bon;Plus haut sommet du Cap Bon à 602m. Randonnée exigeante récompensée par une vue imprenable sur toute la péninsule.;OUI;NON;Le toit du Cap Bon ! La vue à 360° au sommet est absolument grandiose. Compter 3-4h aller-retour.;36.9800;10.9500;;;Accessible printemps/automne;Gratuit;"randonnée; sommet; panorama; vue; difficile; nature"
87;Dar Allouch;service;El Haouaria;"Petit village côtier réputé pour sa forêt et ses plages sauvages. Code postal 8055; municipalité créée en 2016.";OUI;NON;Un village authentique qui a su préserver son caractère. La forêt de Dar Allouch est idéale pour les pique-niques.;37.0580;11.0120;;;Accès libre;Gratuit;"village; forêt; plage; authentique; calme"
88;Restaurant Chez Hattab;restaurant;El Haouaria;Petit restaurant familial tunisien réputé pour sa cuisine maison et son accueil chaleureux. Spécialités de poissons frais et couscous.;OUI;NON;Une adresse authentique tenue par une famille locale. Le rapport qualité-prix est imbattable.;37.0500;11.0040;;;12h-21h;15-25 Dt;"tunisien; familial; poisson; couscous; local"
89;Restaurant El Waha;restaurant;Kelibia;"Restaurant traditionnel tunisien situé au centre de Kelibia; proposant tajines; grillades et mechouia.";OUI;NON;Une valeur sûre à Kelibia pour une cuisine tunisienne généreuse et savoureuse.;36.8480;11.0930;;+216 72 295 000;11h-22h;12-20 Dt;"tunisien; grillades; tajine; centre-ville"
90;Restaurant Le Pirate;restaurant;Kelibia;Restaurant à thème maritime avec vue sur le port de Kelibia. Spécialités de fruits de mer et ambiance décontractée.;OUI;NON;Une bonne table face au port. Les fruits de mer sont frais et le cadre est sympa.;36.8450;11.0940;;+216 72 295 500;12h-23h;20-35 Dt;"fruits de mer; port; maritime; poisson"
91;Plage El Mansoura Est;plage;Kelibia;"Extension naturelle de la plage de la Mansoura vers l'est; plus calme et moins fréquentée.";OUI;NON;La partie sauvage de la Mansoura. Parfaite pour ceux qui veulent le même cadre mais avec plus d'espace.;36.8800;11.1150;;;Accès libre;Gratuit;"sable blanc; calme; sauvage; baignade"
92;Plage Sidi Abdelaziz;plage;El Haouaria;Petite plage de sable située entre les grottes marines et le port. Eau claire et cadre agréable.;OUI;NON;Une plage pratique pour une baignade rapide après la visite des grottes.;37.0530;11.0030;;;Accès libre;Gratuit;"sable; grottes; baignade; pratique"
93;Crique des Pêcheurs;crique;El Haouaria;Petite crique abritée utilisée par les pêcheurs locaux pour abriter leurs barques. Très photogénique.;OUI;NON;Un coin pittoresque où les barques de pêcheurs colorées se reflètent dans une eau limpide.;37.0490;11.0030;;;Accès libre;Gratuit;"pêcheurs; barques; pittoresque; photo"
94;Plage de Kélibia Centre;plage;Kelibia;"Plage urbaine située en plein centre de Kelibia; à proximité du port et des commerces.";OUI;NON;Pratique pour une baignade rapide sans prendre la voiture. Animée en été.;36.8470;11.0950;;;Accès libre;Gratuit;"centre-ville; pratique; animée"
95;Hôtel Méditerranée;hebergement;Kelibia;Hôtel 2* simple et fonctionnel situé à proximité de la plage Petit Paris et du centre-ville.;OUI;NON;Un hôtel sans prétention mais bien situé pour découvrir Kelibia à petit prix.;36.8690;11.1070;;+216 72 295 200;Check-in 14h-20h;60-100 Dt/nuit;"petit prix; centre-ville; fonctionnel"
96;Résidence Dar Mansoura;hebergement;Kelibia;Appart'hôtel moderne situé à deux pas de la plage de la Mansoura. Idéal pour les familles ou longs séjours.;OUI;NON;Le confort d'un appartement avec la proximité de la plus belle plage de Kelibia.;36.8760;11.1090;;+216 72 277 800;Sur réservation;120-180 Dt/nuit;"appartement; famille; longue durée; plage"
97;Sentier des Grottes Marines;randonnee;El Haouaria;Sentier côtier reliant le port d'El Haouaria aux grottes marines. Facile et accessible à tous.;OUI;NON;Une promenade agréable le long des falaises. Comptez 45 minutes aller-retour.;37.0510;11.0020;;;Accessible toute l'année;Gratuit;"randonnée; facile; grottes; sentier côtier"
98;Randonnée Jebel Korbous;randonnee;Korbous;"Sentier de randonnée dans le massif de Korbous; offrant des vues spectaculaires sur la mer et les sources chaudes.";OUI;NON;Une randonnée magnifique entre mer et montagne. Les sources chaudes au pied du jebel récompensent l'effort.;36.8100;10.5700;;;Accessible printemps/automne;Gratuit;"randonnée; montagne; vue mer; sources chaudes"
99;Sentier du Phare;randonnee;Kelibia;Petit sentier côtier menant au phare de Kelibia. Vue imprenable sur la Mansoura et le large.;OUI;NON;La promenade du coucher de soleil à Kelibia. Court mais magnifique.;36.8840;11.1120;;;Accessible toute l'année;Gratuit;"randonnée; phare; vue mer; facile; coucher soleil"
100;Boucle de Dar Chichou;randonnee;El Haouaria;"Sentier de randonnée dans la forêt de Dar Chichou; avec passage par la plage et les falaises.";OUI;NON;"Une belle boucle qui combine forêt; mer et falaises. Compter 2h30.";37.0540;11.0080;;;Accessible toute l'année;Gratuit;"randonnée; forêt; plage; boucle"
101;Centre Thermal Korbous;bien-etre;Korbous;"Centre de thalassothérapie moderne utilisant les eaux chaudes naturelles de Korbous. Soins; massages et cures.";OUI;NON;Le meilleur endroit du Cap Bon pour se ressourcer. Les eaux chaudes sont réputées depuis l'Antiquité romaine.;36.8050;10.5700;;+216 72 241 241;9h-19h;30-100 Dt (soin);"thalasso; thermal; bien-être; massage; cure"
102;Poste d'El Haouaria;service;El Haouaria;"Bureau de poste tunisien situé au centre d'El Haouaria. Retrait d'argent (D17); envoi de colis.";OUI;NON;Utile pour retirer de l'argent ou envoyer un colis. Le seul D17 du secteur.;37.0500;11.0030;;+216 72 293 000;8h-15h (Lun-Ven);Gratuit;"poste; argent; D17; service public"
103;Café du Port;cafe;Kelibia;"Petit café en bordure du port de pêche; idéal pour un café ou un thé en regardant les bateaux.";OUI;NON;L'endroit parfait pour une pause après le marché aux poissons. Ambiance authentique.;36.8440;11.0930;;;6h-18h;1-3 Dt;"café; port; local; authentique"
104;Dar El Gaied;hebergement;Nabeul;"Maison d'hôtes de charme située au 04 Avenue Kheireddine; offrant un cadre authentique et un accueil personnalisé. Idéale pour découvrir la ville de la céramique.";OUI;NON;Une maison d'hôtes élégante au cœur de Nabeul. Parfaite pour rayonner dans la région du Cap Bon.;36.4560;10.7350;;;Sur réservation;À partir de 222$/nuit;"maison d'hôtes; charme; centre-ville; authentique"
105;Dar Kamy;hebergement;Nabeul;"Maison d'hôtes située à Sidi Mahrsi; offrant calme et sérénité à proximité des plages et du centre de Nabeul.";OUI;NON;Un havre de paix à Nabeul. L'accueil est chaleureux et le petit-déjeuner maison délicieux.;36.4580;10.7380;;;Sur réservation;À partir de 78$/nuit;"maison d'hôtes; calme; jardin; petit-déjeuner"
106;Maison Myriam;hebergement;Nabeul;"Maison d'hôtes familiale située rue du Magreb Arabe; offrant une expérience authentique et conviviale.";OUI;NON;Une adresse pleine de charme tenue par des hôtes attentionnés. Idéal pour un séjour immersif à Nabeul.;36.4540;10.7340;;;Sur réservation;À partir de 58$/nuit;"maison d'hôtes; famille; authentique; pas cher"
107;Muses Hammamet;hebergement;Hammamet;"Maison d'hôtes d'exception située sur la route de Jedidi à El Monchar. Cadre élégant et raffiné; proche des plages et de la médina.";OUI;NON;Une pépite à Hammamet ! La décoration est magnifique et le petit-déjeuner est un vrai moment de bonheur. À réserver absolument.;36.4350;10.6200;;;Sur réservation;À partir de 191$/nuit;"maison d'hôtes; luxe; charme; piscine; raffiné"
108;Dar Hammamet Guest House & Hammam;hebergement;Hammamet;Guest house authentique avec hammam traditionnel intégré. Située au 12 Rue Mohamed Ben Romdhane dans la médina arabe.;OUI;NON;"L'expérience la plus authentique d'Hammamet ! Un hammam traditionnel dans votre guest house; au cœur de la médina.";36.4300;10.6150;;;Sur réservation;À partir de 72$/nuit;"hammam; médina; authentique; bien-être; traditionnel"
109;Dar Beldi;hebergement;Hammamet;Maison d'hôtes traditionnelle située route El Faouara à Bir Bouragba. Cadre typique et hospitalité tunisienne.;OUI;NON;Une belle découverte ! La maison est typique et les hôtes sont aux petits soins. Parfait pour un séjour au calme.;36.4400;10.6250;;;Sur réservation;À partir de 105$/nuit;"traditionnel; calme; hospitalité; typique"
110;Villa avec piscine et vue montagne;hebergement;Hammamet;"Villa privée avec piscine située à Latrech; Bir Bouregba. Calme absolu et vue imprenable sur les montagnes.";OUI;NON;Pour ceux qui recherchent le calme et l'intimité. La vue sur les montagnes est splendide au réveil.;36.4450;10.6300;;;Sur réservation;À partir de 160$/nuit;"villa; piscine; montagne; calme; intimité; vue"
111;Dar Mariem;hebergement;Hammamet;Maison d'hôtes familiale située à Bir Bou Rekba. Ambiance chaleureuse et prix très abordable.;OUI;NON;Une excellente option petit budget à Hammamet. L'accueil y est familial et sincère.;36.4380;10.6180;;;Sur réservation;À partir de 55$/nuit;"pas cher; famille; abordable; chaleureux"
112;Dar Essarouel B&B;hebergement;Hammamet;Bed & Breakfast situé dans la vieille médina arabe d'Hammamet. Charme authentique et immersion totale.;OUI;NON;"Séjourner dans la médina; c'est vivre Hammamet de l'intérieur. Un B&B plein de caractère.";36.4320;10.6140;;;Sur réservation;Non précisé;"B&B; médina; authentique; charme; historique"
113;Villa Hayet de haut standing;hebergement;Hammamet;Villa de luxe haut standing offrant prestations haut de gamme et cadre exceptionnel.;OUI;NON;Le summum du luxe à Hammamet. Pour une occasion spéciale ou des vacances inoubliables.;36.4480;10.6350;;;Sur réservation;À partir de 490$/nuit;"luxe; haut standing; villa; prestige; exceptionnel"
